emp_no,first_name,last_name,dept_name
10001,Georgi,Facello,Development
10004,Chirstian,Koblick,Production
10009,Sumant,Peac,Quality Management
10018,Kazuhide,Peha,Production
10018,Kazuhide,Peha,Development
10035,Alain,Chappelet,Production
10053,Sanjiv,Zschoche,Sales
10058,Berhard,McFarlin,Marketing
10066,Kwee,Schusler,Development
10067,Claudi,Stavenow,Quality Management
10070,Reuven,Garigliano,Development
10070,Reuven,Garigliano,Research
10072,Hironoby,Sidou,Development
10076,Erez,Ritzmann,Development
10088,Jungsoon,Syrzycki,Sales
10088,Jungsoon,Syrzycki,Customer Service
10100,Hironobu,Haraldson,Human Resources
10103,Akemi,Birch,Development
10108,Lunjin,Giveon,Marketing
10108,Lunjin,Giveon,Human Resources
10116,Dayanand,Czap,Development
10116,Dayanand,Czap,Research
10126,Kayoko,Valtorta,Customer Service
10129,Armond,Peir,Development
10130,Nishit,Casperson,Production
10134,Diederik,Siprelle,Production
10134,Diederik,Siprelle,Development
10138,Perry,Shimshoni,Quality Management
10149,Xiadong,Perry,Sales
10150,Zhenbing,Perng,Development
10152,Jaques,Munro,Quality Management
10153,Heekeun,Majewski,Development
10157,Nigel,Aloisi,Development
10161,Hairong,Mellouli,Production
10186,Shigehito,Kropatsch,Finance
10198,Pranav,Furedi,Development
10215,Xiaobin,Duclos,Sales
10217,Yongmin,Roison,Production
10224,Leon,Trogemann,Production
10229,Ulises,Takanami,Quality Management
10233,Lein,Vendrig,Human Resources
10258,Basil,Ishibashi,Development
10272,Yishai,Cannane,Finance
10282,Hercules,Benzmuller,Production
10283,Kauko,Birjandi,Development
10286,Saddek,Gopalakrishnan,Customer Service
10302,Faiza,Baer,Sales
10305,Hirochika,Piancastelli,Development
10326,Masali,Czap,Research
10327,Roded,Facello,Development
10327,Roded,Facello,Research
10340,Djelloul,Laventhal,Marketing
10347,Pradeep,Kaminger,Research
10355,Satyanarayana,Cochrane,Sales
10356,Vasilis,Standera,Research
10363,Toshiki,Muniz,Production
10363,Toshiki,Muniz,Quality Management
10364,Nakhoon,Dengi,Production
10372,Anneli,Frijda,Production
10387,Parto,Wrigley,Customer Service
10395,Takahiro,Deverell,Development
10396,Sibyl,Rahier,Development
10402,Volkmar,Ebeling,Quality Management
10404,Prodip,Rosti,Development
10426,Arunas,Luce,Development
10429,Martien,Improta,Development
10432,Hisao,Tiemann,Customer Service
10442,Volkmar,Unno,Sales
10451,Bodh,Ranta,Production
10453,Tsvetan,Matzel,Customer Service
10463,Ung,Zaiane,Sales
10466,Jiakeng,Himler,Customer Service
10486,Amstein,Kossowski,Quality Management
10494,Yakkov,Servieres,Production
10504,Xiong,Varker,Sales
10512,Udi,Gihr,Human Resources
10519,Yonghoan,Alencar,Development
10519,Yonghoan,Alencar,Research
10522,Marke,Cesareni,Human Resources
10538,Przemyslawa,Falby,Production
10538,Przemyslawa,Falby,Development
10541,Godehard,Eiter,Sales
10548,Ramalingam,Gunderson,Marketing
10548,Ramalingam,Gunderson,Sales
10564,Jianhao,Thisen,Production
10575,Theirry,Yeung,Production
10591,Hidde,Hettesheimer,Marketing
10608,Adhemar,Talmor,Production
10617,Hidekazu,Angel,Customer Service
10623,Aleksander,Danlos,Development
10623,Aleksander,Danlos,Research
10628,Krisda,Krogh,Development
10629,Lalit,Francisci,Sales
10631,Inderjeet,Chaudhuri,Development
10642,Hirochika,Narlikar,Development
10653,Otmar,Feinberg,Development
10671,Parviz,Rebaine,Human Resources
10672,Bluma,Zeilberger,Production
10676,Valeri,Danley,Development
10693,Berhard,Daescu,Customer Service
10694,Rildo,Straney,Marketing
10702,Bader,Szemeredi,Development
10718,Adib,Rullman,Development
10726,Zita,Minakawa,Development
10731,Fumitaka,Peak,Finance
10734,Sachar,Erdi,Production
10745,Poorav,Ranze,Production
10749,King,Brendel,Production
10751,Jordanka,Ushiama,Development
10767,Monique,Doering,Sales
10768,Ishfaq,Candan,Production
10777,Mizuhito,Kemmerer,Production
10778,Selwyn,Merey,Marketing
10791,Tadahiko,Sgarro,Development
10795,Supot,Naudin,Sales
10803,Katsuyuki,Velasco,Quality Management
10808,Chenxi,Leijenhorst,Development
10835,Tomoyuki,Kermarrec,Production
10836,Jianhua,Leivant,Sales
10836,Jianhua,Leivant,Customer Service
10844,Dipayan,Koprowski,Development
10847,Theirry,Danley,Research
10848,Fen,Bratsberg,Production
10867,Billur,Gyorkos,Production
10878,Lakshmi,Deville,Sales
10879,Muzhong,Chleq,Development
10883,Shimshon,Champarnaud,Production
10895,Vishwani,Petersohn,Sales
10895,Vishwani,Petersohn,Customer Service
10909,Georgi,Atchley,Development
10912,Oscal,Fasbender,Finance
10918,Susumu,Reghbati,Finance
10921,Mara,Bahi,Production
10924,Hironoby,Atchley,Sales
10927,Gal,Scallan,Marketing
10936,Mountaz,Schicker,Human Resources
10943,Berna,Skafidas,Development
10965,Eckart,Braunschweig,Sales
10969,Premal,Noriega,Development
10974,Muneo,Papsdorf,Development
10986,Masako,Schiper,Development
10988,Chinya,Deyuan,Development
10989,Sumali,Candan,Finance
10990,Shin,Foote,Development
11009,Alper,Axelband,Sales
11012,Taegyun,Speckmann,Marketing
11012,Taegyun,Speckmann,Customer Service
11019,Leon,Huttel,Development
11021,Srinidhi,Henders,Research
11027,Remzi,Cappello,Production
11028,Miyeon,Krider,Production
11031,Ottavia,Walstra,Marketing
11037,Lansing,Maliniak,Production
11038,Jinya,Beidas,Research
11042,Gou,Breugel,Development
11048,Jaques,Demke,Sales
11050,Elvis,Katiyar,Marketing
11051,Przemyslawa,Erol,Production
11070,Adib,Raney,Quality Management
11081,Barry,Boyle,Finance
11085,Hailing,Thummel,Production
11100,Berna,Cochrane,Research
11106,Aris,Iwayama,Development
11110,Valeska,Birjandi,Production
11110,Valeska,Birjandi,Customer Service
11112,Boaz,Mukaidono,Customer Service
11113,Shahab,Peng,Marketing
11121,Vugranam,Kakkad,Development
11133,Nalini,Azulay,Quality Management
11134,Sachar,Rajcani,Quality Management
11137,Hugh,Luca,Development
11139,Bogdan,Homond,Customer Service
11146,Ishfaq,Masand,Sales
11148,Zhanqiu,Botman,Finance
11148,Zhanqiu,Botman,Human Resources
11162,Kauko,Narlikar,Development
11180,Mitsuyuki,Bojadziev,Development
11197,Tadahiro,Fordan,Sales
11203,Sakthirel,Yetto,Finance
